p60,p70,p80,p90,p100,Comment,Doctype,NavigableString,ProcessingInstruction,Script,Stylesheet,Tag,length,is_text
6.0,14.0,17.0,27.700000000000045,330.0,2.0,0.0,732.0,0.0,0.0,0.0,864.0,7409.0,0.0
3.0,12.0,17.0,20.0,142.0,3.0,0.0,648.0,0.0,0.0,0.0,775.0,4798.0,0.0
6.0,8.0,11.0,19.0,72.0,2.0,0.0,129.0,0.0,0.0,0.0,137.0,917.0,0.0
6623.799999999999,7383.1,8221.4,8948.000000000002,19348.0,0.0,0.0,140.0,0.0,0.0,0.0,211.0,530582.0,1.0
6.0,8.0,10.0,18.0,72.0,2.0,0.0,124.0,0.0,0.0,0.0,130.0,871.0,0.0
3.0,14.0,20.0,21.0,72.0,2.0,0.0,1613.0,0.0,0.0,0.0,1936.0,12645.0,0.0
6.0,8.599999999999994,11.0,20.0,72.0,2.0,0.0,177.0,0.0,0.0,0.0,202.0,1267.0,0.0
43.0,80.0,143.0,1609.0,11256.0,0.0,0.0,301.0,0.0,0.0,0.0,193.0,175653.0,1.0
40.599999999999966,528.4,897.6000000000001,2102.400000000004,15229.0,0.0,0.0,442.0,0.0,0.0,0.0,660.0,308176.0,1.0
36.8,46.4,52.00000000000003,88.79999999999998,110257.0,0.0,0.0,15.0,0.0,0.0,0.0,14.0,110673.0,1.0
22.0,48.99999999999996,2096.600000000002,6998.9,29296.0,0.0,0.0,34.0,0.0,0.0,0.0,48.0,82065.0,1.0
93.59999999999992,1156.699999999999,2070.0,3135.100000000001,7935.0,0.0,0.0,94.0,0.0,0.0,0.0,128.0,87312.0,1.0
14.0,31.0,48.0,4057.5,23988.0,0.0,0.0,16.0,0.0,0.0,0.0,25.0,32282.0,1.0
5.799999999999997,8.0,11.0,20.0,72.0,2.0,0.0,152.0,0.0,0.0,0.0,167.0,1113.0,0.0
15.0,42.0,47.0,68.5,3534.0,0.0,0.0,16.0,0.0,0.0,0.0,23.0,3881.0,1.0
6.0,8.399999999999991,11.0,20.0,72.0,2.0,0.0,141.0,0.0,0.0,0.0,144.0,1076.0,0.0
14.4,198.19999999999857,8299.600000000004,17188.5,38054.0,0.0,0.0,60.0,0.0,0.0,0.0,91.0,253213.0,1.0
3.0,13.0,18.0,20.0,72.0,3.0,0.0,541.0,0.0,0.0,0.0,647.0,4213.0,0.0
3.0,12.0,17.0,20.0,72.0,2.0,0.0,985.0,0.0,0.0,0.0,1172.0,7302.0,0.0
11.0,12.0,13.0,14.0,116.0,12.0,0.0,1831.0,0.0,0.0,0.0,1102.0,17191.0,0.0
6.0,7.0,8.0,12.5,50.0,2.0,0.0,324.0,0.0,0.0,0.0,228.0,1706.0,0.0
6.0,7.0,9.0,16.5,294.0,2.0,0.0,354.0,0.0,0.0,0.0,255.0,2815.0,0.0
6.0,7.0,10.0,21.69999999999999,480.0,13.0,0.0,311.0,0.0,0.0,0.0,294.0,2560.0,0.0
10.0,12.0,22.0,31.0,300.0,9.0,0.0,2325.0,0.0,0.0,0.0,2914.0,38786.0,0.0
1270.8000000000004,1989.4,21388.40000000003,39824.600000000006,63827.0,0.0,0.0,39.0,0.0,0.0,0.0,54.0,381679.0,1.0
13.8,16.799999999999994,33.0,42.80000000000001,746452.0,0.0,0.0,14.0,0.0,0.0,0.0,22.0,746644.0,1.0
13.8,18.099999999999987,46.0,46.7,840267.0,0.0,0.0,14.0,0.0,0.0,0.0,22.0,840485.0,1.0
13.8,17.39999999999999,39.0,44.60000000000001,638118.0,0.0,0.0,14.0,0.0,0.0,0.0,22.0,638322.0,1.0
6.0,9.0,11.0,19.0,72.0,2.0,0.0,140.0,0.0,0.0,0.0,156.0,1046.0,0.0
34.0,196.0,53518.0,73653.0,106484.0,0.0,0.0,41.0,0.0,0.0,0.0,58.0,826507.0,1.0
32.0,22084.0,28554.0,39705.0,50554.0,0.0,0.0,51.0,0.0,0.0,0.0,76.0,566488.0,1.0
17.0,25.0,35.0,53.80000000000001,371.0,9.0,0.0,258.0,0.0,0.0,0.0,191.0,6087.0,0.0
6.0,8.0,10.200000000000005,20.0,72.0,2.0,0.0,148.0,0.0,0.0,0.0,162.0,1051.0,0.0
4.0,9.899999999999975,20.0,33.0,185.0,4.0,0.0,484.0,0.0,0.0,0.0,616.0,5089.0,0.0
7.0,9.0,11.0,15.0,407.0,14.0,0.0,847.0,0.0,0.0,1.0,675.0,6136.0,0.0
5.0,9.099999999999994,19.400000000000038,20.69999999999999,73.0,2.0,0.0,322.0,0.0,0.0,0.0,419.0,2790.0,0.0
32.599999999999994,103.79999999999984,289.2000000000002,2628.800000000001,38177.0,0.0,0.0,252.0,0.0,0.0,0.0,219.0,413629.0,1.0
70.19999999999992,10239.2,15187.600000000002,17770.600000000006,51868.0,0.0,0.0,80.0,0.0,0.0,0.0,115.0,506867.0,1.0
30.0,39.89999999999999,249.0000000000008,59332.599999999984,96928.0,0.0,0.0,42.0,0.0,0.0,0.0,48.0,443504.0,1.0
21.8,36.29999999999998,52.60000000000001,58278.90000000014,156332.0,0.0,0.0,22.0,0.0,0.0,0.0,30.0,309043.0,1.0
71.0,249.0,4300.0,23869.5,115026.0,0.0,0.0,76.0,0.0,0.0,0.0,95.0,520754.0,1.0
22.0,34.49999999999997,775.0,8355.0,23959.0,0.0,0.0,326.0,0.0,0.0,0.0,462.0,637589.0,1.0
3.0,13.0,19.0,20.0,72.0,2.0,0.0,1282.0,0.0,0.0,0.0,1534.0,9830.0,0.0
10.0,11.0,13.0,21.0,299.0,15.0,0.0,2755.0,0.0,0.0,4.0,3180.0,34831.0,0.0
3.0,14.0,20.0,21.0,72.0,2.0,0.0,1912.0,0.0,0.0,0.0,2295.0,15231.0,0.0
6.0,7.0,10.0,17.80000000000001,486.0,13.0,0.0,410.0,0.0,0.0,0.0,382.0,3352.0,0.0
3.0,5.699999999999932,20.0,24.899999999999977,156.0,4.0,0.0,818.0,0.0,0.0,0.0,978.0,7534.0,0.0
6.0,8.199999999999989,10.0,19.0,72.0,2.0,0.0,125.0,0.0,0.0,0.0,131.0,898.0,0.0
77.99999999999999,2353.3999999999933,6964.200000000001,15767.0,57453.0,0.0,0.0,129.0,0.0,0.0,0.0,100.0,599309.0,1.0
6.0,8.0,14.0,26.0,601.0,18.0,0.0,1092.0,0.0,3.0,0.0,1151.0,9756.0,0.0
1.0,1.0,1.0,2.0,250.0,3.0,0.0,8242.0,0.0,1.0,0.0,9371.0,11284.0,0.0
5.0,14.0,26.0,33.0,497.0,7.0,0.0,691.0,0.0,2.0,0.0,436.0,7462.0,0.0
8.0,17.0,24.0,30.0,56.0,0.0,0.0,370.0,0.0,0.0,0.0,353.0,4080.0,0.0
6.0,14.0,17.0,27.700000000000045,330.0,2.0,0.0,732.0,0.0,0.0,0.0,864.0,7409.0,0.0
